example_id                                       | status  | run_time        |
------------------------------------------------ | ------- | --------------- |
./spec/helpers/teams_helper_spec.rb[1:1]         | pending | 0.00001 seconds |
./spec/models/access_control_spec.rb[1:1]        | pending | 0.00001 seconds |
./spec/models/appearance_spec.rb[1:1]            | pending | 0.00001 seconds |
./spec/models/comment_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/models/match_spec.rb[1:1]                 | pending | 0.00001 seconds |
./spec/requests/libraries_spec.rb[1:1:1]         | pending | 0.00601 seconds |
./spec/requests/libraries_spec.rb[1:2:1]         | pending | 0.01169 seconds |
./spec/requests/libraries_spec.rb[1:3:1]         | passed  | 0.0386 seconds  |
./spec/requests/libraries_spec.rb[1:4:1]         | pending | 0.0076 seconds  |
./spec/requests/libraries_spec.rb[1:5:1:1]       | pending | 0.01186 seconds |
./spec/requests/libraries_spec.rb[1:5:1:2]       | pending | 0.00827 seconds |
./spec/requests/libraries_spec.rb[1:5:2:1]       | pending | 0.01267 seconds |
./spec/requests/libraries_spec.rb[1:5:2:2]       | pending | 0.00812 seconds |
./spec/requests/libraries_spec.rb[1:6:1:1]       | pending | 0.00931 seconds |
./spec/requests/libraries_spec.rb[1:6:1:2]       | pending | 0.00752 seconds |
./spec/requests/libraries_spec.rb[1:6:2:1]       | pending | 0.00915 seconds |
./spec/requests/libraries_spec.rb[1:7:1]         | pending | 0.00775 seconds |
./spec/requests/libraries_spec.rb[1:7:2]         | pending | 0.00666 seconds |
./spec/requests/matches_spec.rb[1:1:1]           | pending | 0.00663 seconds |
./spec/requests/matches_spec.rb[1:2:1]           | pending | 0.00776 seconds |
./spec/requests/matches_spec.rb[1:3:1]           | failed  | 0.02767 seconds |
./spec/requests/matches_spec.rb[1:4:1]           | pending | 0.00695 seconds |
./spec/requests/matches_spec.rb[1:5:1:1]         | pending | 0.01033 seconds |
./spec/requests/matches_spec.rb[1:5:1:2]         | pending | 0.00695 seconds |
./spec/requests/matches_spec.rb[1:5:2:1]         | pending | 0.01059 seconds |
./spec/requests/matches_spec.rb[1:5:2:2]         | pending | 0.00758 seconds |
./spec/requests/matches_spec.rb[1:6:1:1]         | pending | 0.00783 seconds |
./spec/requests/matches_spec.rb[1:6:1:2]         | pending | 0.00762 seconds |
./spec/requests/matches_spec.rb[1:6:2:1]         | pending | 0.00706 seconds |
./spec/requests/matches_spec.rb[1:7:1]           | pending | 0.00747 seconds |
./spec/requests/matches_spec.rb[1:7:2]           | pending | 0.00765 seconds |
./spec/requests/practices_spec.rb[1:1:1]         | passed  | 0.49342 seconds |
./spec/requests/practices_spec.rb[1:2:1]         | failed  | 0.05139 seconds |
./spec/requests/practices_spec.rb[1:3:1]         | failed  | 0.03873 seconds |
./spec/requests/practices_spec.rb[1:4:1]         | failed  | 0.0452 seconds  |
./spec/requests/practices_spec.rb[1:5:1:1]       | passed  | 0.09234 seconds |
./spec/requests/practices_spec.rb[1:5:1:2]       | passed  | 0.07875 seconds |
./spec/requests/practices_spec.rb[1:5:2:1]       | passed  | 0.0504 seconds  |
./spec/requests/practices_spec.rb[1:5:2:2]       | passed  | 0.0454 seconds  |
./spec/requests/practices_spec.rb[1:6:1:1]       | failed  | 0.05324 seconds |
./spec/requests/practices_spec.rb[1:6:1:2]       | failed  | 0.05105 seconds |
